req_id, LB_arrival, server_arrival, allocated_server, process_time, finish
0, 0, 0, 0, 1, 1
1, 0, 0, 0, 1, 1
2, 0, 1, 0, 1, 2
3, 0, 1, 0, 1, 2
4, 0, 2, 0, 1, 3
5, 0, 3, 0, 1, 4
6, 0, 0, 1, 1, 1
7, 0, 0, 1, 2, 2
8, 0, 1, 1, 1, 2
9, 0, 0, 2, 2, 2
10, 0, 2, 2, 1, 3
11, 0, 4, 0, 2, 6
12, 0, 3, 2, 1, 4
13, 0, 4, 2, 1, 5
14, 0, 5, 2, 1, 6
15, 0, 2, 1, 18, 20
16, 0, 6, 0, 1, 7
17, 0, 6, 2, 143, 149
18, 0, 7, 0, 136, 143
19, 0, 20, 1, 137, 157
20, 0, 143, 0, 143, 286
21, 0, 157, 1, 137, 294
22, 0, 294, 1, 143, 437
23, 0, 149, 2, 143, 292
24, 0, 437, 1, 143, 580
25, 0, 580, 1, 1, 581
26, 0, 581, 1, 1, 582
27, 0, 1, 0, 16, 17
28, 0, 582, 1, 2, 584
29, 1, 584, 1, 1, 585
30, 1, 585, 1, 1, 586
31, 1, 586, 1, 1, 587
32, 1, 1, 0, 1, 2
33, 1, 1, 1, 1, 2
34, 1, 587, 1, 1, 588
35, 1, 588, 1, 26, 614
36, 1, 1, 1, 142, 143
37, 1, 614, 1, 84, 698
38, 1, 698, 1, 1, 699
39, 1, 699, 1, 1, 700
40, 1, 700, 1, 142, 842
41, 2, 842, 1, 14, 856
42, 2, 856, 1, 19, 875
43, 2, 2, 1, 13, 15
44, 2, 2, 0, 16, 18
45, 2, 2, 0, 11, 13
46, 2, 875, 1, 18, 893
47, 2, 893, 1, 14, 907
48, 2, 907, 1, 12, 919
49, 2, 919, 1, 11, 930
50, 2, 930, 1, 15, 945
51, 2, 2, 0, 13, 15
52, 2, 945, 1, 17, 962
53, 2, 962, 1, 13, 975
54, 2, 975, 1, 14, 989
55, 2, 989, 1, 14, 1003
56, 2, 1003, 1, 18, 1021
57, 2, 1021, 1, 12, 1033
58, 2, 1033, 1, 12, 1045
59, 2, 1045, 1, 17, 1062
60, 2, 2, 1, 19, 21
61, 2, 1062, 1, 13, 1075
62, 2, 1075, 1, 19, 1094
63, 2, 2, 1, 10, 12
64, 2, 1094, 1, 17, 1111
65, 2, 1111, 1, 19, 1130
66, 2, 2, 1, 13, 15
67, 2, 1130, 1, 12, 1142
68, 2, 1142, 1, 16, 1158
69, 2, 2, 0, 17, 19
70, 2, 1158, 1, 15, 1173
71, 2, 1173, 1, 16, 1189
72, 2, 2, 1, 12, 14
73, 2, 1189, 1, 141, 1330
74, 2, 1330, 1, 19, 1349
75, 2, 1349, 1, 15, 1364
76, 2, 2, 0, 25, 27
77, 2, 2, 0, 25, 27
78, 2, 1364, 1, 17, 1381
79, 2, 1381, 1, 122, 1503
80, 2, 2, 1, 141, 143
81, 2, 1503, 1, 19, 1522
82, 2, 1522, 1, 4, 1526
83, 2, 1526, 1, 1, 1527
84, 2, 1527, 1, 1, 1528
85, 2, 1528, 1, 1, 1529
86, 2, 1529, 1, 18, 1547
87, 2, 1547, 1, 18, 1565
88, 2, 1565, 1, 17, 1582
89, 2, 1582, 1, 1, 1583
90, 2, 1583, 1, 18, 1601
91, 2, 2, 0, 19, 21
92, 2, 2, 1, 18, 20
93, 2, 2, 0, 15, 17
94, 2, 1601, 1, 14, 1615
95, 2, 1615, 1, 16, 1631
96, 2, 1631, 1, 18, 1649
97, 2, 1649, 1, 11, 1660
98, 2, 1660, 1, 15, 1675
99, 2, 2, 1, 19, 21
100, 2, 1675, 1, 13, 1688
101, 2, 1688, 1, 16, 1704
102, 2, 2, 0, 18, 20
103, 2, 1704, 1, 13, 1717
104, 2, 1717, 1, 19, 1736
105, 3, 1736, 1, 17, 1753
106, 3, 1753, 1, 32, 1785
107, 3, 1785, 1, 18, 1803
108, 3, 1803, 1, 1, 1804
109, 3, 1804, 1, 16, 1820
110, 3, 1820, 1, 12, 1832
111, 3, 1832, 1, 1, 1833
112, 3, 1833, 1, 11, 1844
113, 3, 1844, 1, 17, 1861
114, 3, 3, 0, 18, 21
115, 3, 1861, 1, 12, 1873
116, 3, 1873, 1, 1, 1874
117, 3, 1874, 1, 1, 1875
118, 3, 1875, 1, 17, 1892
119, 3, 1892, 1, 18, 1910
120, 3, 3, 1, 18, 21
121, 3, 1910, 1, 18, 1928
122, 3, 3, 0, 14, 17
123, 3, 3, 1, 19, 22
124, 3, 3, 0, 2, 5
125, 3, 1928, 1, 13, 1941
126, 3, 1941, 1, 1, 1942
127, 3, 3, 1, 13, 16
128, 3, 1942, 1, 12, 1954
129, 3, 1954, 1, 15, 1969
130, 3, 1969, 1, 1, 1970
131, 3, 1970, 1, 13, 1983
132, 3, 1983, 1, 1, 1984
133, 3, 1984, 1, 12, 1996
134, 3, 3, 0, 13, 16
135, 3, 1996, 1, 16, 2012
136, 3, 3, 0, 13, 16
